@relation car-evaluation

@attribute class {0,1,2,3}
@attribute buying_price_vhigh {0,1}
@attribute buying_price_high {0,1}
@attribute buying_price_med {0,1}
@attribute buying_price_low {0,1}
@attribute maintenance_price_vhigh {0,1}
@attribute maintenance_price_high {0,1}
@attribute maintenance_price_med {0,1}
@attribute maintenance_price_low {0,1}
@attribute doors_2 {0,1}
@attribute doors_3 {0,1}
@attribute doors_4 {0,1}
@attribute doors_5more {0,1}
@attribute persons_2 {0,1}
@attribute persons_4 {0,1}
@attribute persons_more {0,1}
@attribute luggage_boot_size_small {0,1}
@attribute luggage_boot_size_med {0,1}
@attribute luggage_boot_size_big {0,1}
@attribute safety_low {0,1}
@attribute safety_med {0,1}
@attribute safety_high {0,1}

@data
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
